Lake.Name,STN,Site.ID,Latitude,Longitude,Year,Secchi.depth_avg
AHMIC LAKE,32,2,45.65222222,-79.72333333,2014,2.4
AHMIC LAKE,32,2,45.65222222,-79.72333333,2015,2.8
AHMIC LAKE,32,2,45.65222222,-79.72333333,2016,2.8
AHMIC LAKE,32,3,45.65222222,-79.72333333,2002,2.8
AIRD LAKE,33,2,45.13916667,-77.08083333,2014,4.8
AKWESKWA LAKE,7590,1,48.17666667,-81.90416667,2015,1.1
ALCOCK LAKE,7600,2,49.82666667,-94.49333333,2014,1.2
ALFRED LAKE,49,1,45.67555556,-79.005,2001,3.8
ALLAN LAKE,55,1,49.68444444,-82.77333333,2015,0.8
ALLEN LAKE,6114,1,45.12361111,-78.25277778,1993,6.3
ALLEN LAKE,6114,1,45.12361111,-78.25277778,1994,6.1
ALLEN LAKE,6114,1,45.12361111,-78.25277778,1995,6.2
ALLEN LAKE,6114,1,45.12361111,-78.25277778,1996,6.4
ALLEN LAKE,6114,1,45.12361111,-78.25277778,1997,6.4
ALLEN LAKE,6114,1,45.12361111,-78.25277778,1998,6.5
ALLEN LAKE,6114,1,45.12361111,-78.25277778,1999,6.2
ALLEN LAKE,6114,1,45.12361111,-78.25277778,2000,6.2
ALLEN LAKE,6114,1,45.12361111,-78.25277778,2001,6.7
ALLEN LAKE,6114,1,45.12361111,-78.25277778,2002,6.3
ALLEN LAKE,6114,1,45.12361111,-78.25277778,2003,6.3
ALLEN LAKE,6114,1,45.12361111,-78.25277778,2004,6.2
ALLEN LAKE,6114,1,45.12361111,-78.25277778,2005,6.1
ALLEN LAKE,6114,1,45.12361111,-78.25277778,2006,5.6
ALLEN LAKE,6114,1,45.12361111,-78.25277778,2007,5.9
ALLEN LAKE,6114,1,45.12361111,-78.25277778,2008,6.1
ALLEN LAKE,6114,1,45.12361111,-78.25277778,2009,5.9
ALLEN LAKE,6114,1,45.12361111,-78.25277778,2010,6.1
ALLEN LAKE,6114,1,45.12361111,-78.25277778,2011,5.7
ALLEN LAKE,6114,1,45.12361111,-78.25277778,2012,5.9
ALLEN LAKE,6114,1,45.12361111,-78.25277778,2013,6.2
ALLEN LAKE,6114,1,45.12361111,-78.25277778,2014,6
ALLEN LAKE,6114,1,45.12361111,-78.25277778,2015,6.2
ALLEN LAKE,6114,1,45.12361111,-78.25277778,2016,6.5
ALLEN LAKE,6114,2,45.12166667,-78.25027778,2014,4.5
ALLUMETTE LAKE (OTTAWA R),3162,1,45.85888889,-77.18666667,1999,2
ANIMOOSH LAKE,88,1,45.77194444,-78.13805556,2002,4.3
