Lake.Name,STN,Site.ID,Latitude,Longitude,Year,Secchi.depth_avg,d,m,s,d_long,m_long,s_long
AHMIC LAKE,32,2,453908,794324,2002,3.3,45,39,08,79,43,24
AHMIC LAKE,32,2,453908,794324,2003,3,45,39,08,79,43,24
AHMIC LAKE,32,2,453908,794324,2004,3.1,45,39,08,79,43,24
AHMIC LAKE,32,2,453908,794324,2005,3.1,45,39,08,79,43,24
AHMIC LAKE,32,2,453908,794324,2006,3,45,39,08,79,43,24
AHMIC LAKE,32,2,453908,794324,2007,2.7,45,39,08,79,43,24
AHMIC LAKE,32,2,453908,794324,2008,2.3,45,39,08,79,43,24
AHMIC LAKE,32,2,453908,794324,2009,2.5,45,39,08,79,43,24
AHMIC LAKE,32,2,453908,794324,2010,2.6,45,39,08,79,43,24
AHMIC LAKE,32,2,453908,794324,2011,2.2,45,39,08,79,43,24
AHMIC LAKE,32,2,453908,794324,2012,2.5,45,39,08,79,43,24
AHMIC LAKE,32,2,453908,794324,2013,2.5,45,39,08,79,43,24
AHMIC LAKE,32,2,453908,794324,2014,2.4,45,39,08,79,43,24
AHMIC LAKE,32,2,453908,794324,2015,2.8,45,39,08,79,43,24
AHMIC LAKE,32,2,453908,794324,2016,2.8,45,39,08,79,43,24
AHMIC LAKE,32,3,453908,794324,2002,2.8,45,39,08,79,43,24
AIRD LAKE,33,2,450781,770451,2014,4.8,45,07,81,77,04,51
AKWESKWA LAKE,7590,1,481036,815415,2015,1.1,48,10,36,81,54,15
ALCOCK LAKE,7600,2,494936,942936,2014,1.2,49,49,36,94,29,36
ALFRED LAKE,49,1,454032,790018,2001,3.8,45,40,32,79,00,18
ALLAN LAKE,55,1,494104,824624,2015,0.8,49,41,04,82,46,24
ALLEN LAKE,6114,1,450725,781510,1993,6.3,45,07,25,78,15,10
ALLEN LAKE,6114,1,450725,781510,1994,6.1,45,07,25,78,15,10
ALLEN LAKE,6114,1,450725,781510,1995,6.2,45,07,25,78,15,10
ALLEN LAKE,6114,1,450725,781510,1996,6.4,45,07,25,78,15,10
ALLEN LAKE,6114,1,450725,781510,1997,6.4,45,07,25,78,15,10
ALLEN LAKE,6114,1,450725,781510,1998,6.5,45,07,25,78,15,10
ALLEN LAKE,6114,1,450725,781510,1999,6.2,45,07,25,78,15,10
ALLEN LAKE,6114,1,450725,781510,2000,6.2,45,07,25,78,15,10
ALLEN LAKE,6114,1,450725,781510,2001,6.7,45,07,25,78,15,10
ALLEN LAKE,6114,1,450725,781510,2002,6.3,45,07,25,78,15,10
ALLEN LAKE,6114,1,450725,781510,2003,6.3,45,07,25,78,15,10
ALLEN LAKE,6114,1,450725,781510,2004,6.2,45,07,25,78,15,10
ALLEN LAKE,6114,1,450725,781510,2005,6.1,45,07,25,78,15,10
