Lake.Name,STN,Latitude,Longitude,Site.ID,Year,meanTP_yearly
AHMIC LAKE,32,45.63055556,-79.65138889,1,2012,7.85
AHMIC LAKE,32,45.63055556,-79.65138889,1,2013,9.116666667
AHMIC LAKE,32,45.63055556,-79.65138889,1,2014,10.96
AHMIC LAKE,32,45.63055556,-79.65138889,1,2015,8.925
AHMIC LAKE,32,45.63055556,-79.65138889,1,2016,7.783333333
AHMIC LAKE,32,45.65222222,-79.72333333,2,2002,14.7
AHMIC LAKE,32,45.65222222,-79.72333333,2,2003,16.45
AHMIC LAKE,32,45.65222222,-79.72333333,2,2004,11.25
AHMIC LAKE,32,45.65222222,-79.72333333,2,2005,7.241666667
AHMIC LAKE,32,45.65222222,-79.72333333,2,2006,8.98
AHMIC LAKE,32,45.65222222,-79.72333333,2,2007,8.808333333
AHMIC LAKE,32,45.65222222,-79.72333333,2,2008,12.27
AHMIC LAKE,32,45.65222222,-79.72333333,2,2009,8.74
AHMIC LAKE,32,45.65222222,-79.72333333,2,2010,9.316666667
AHMIC LAKE,32,45.65222222,-79.72333333,2,2011,8.95
AHMIC LAKE,32,45.65222222,-79.72333333,2,2012,7.416666667
AHMIC LAKE,32,45.65222222,-79.72333333,2,2013,8.95
AHMIC LAKE,32,45.65222222,-79.72333333,2,2014,9.68
AHMIC LAKE,32,45.65222222,-79.72333333,2,2015,8.083333333
AHMIC LAKE,32,45.65222222,-79.72333333,2,2016,7.516666667
AIRD LAKE,33,45.13916667,-77.08083333,2,2014,8.6
AIRD LAKE,33,45.13916667,-77.08083333,2,2015,6.3
AIRD LAKE,33,45.13916667,-77.08083333,2,2016,6.2
AIRPORT LAKE,6567,49.87583333,-93.4425,1,2006,17.7
AIRPORT LAKE,6567,49.87583333,-93.4425,1,2007,14.15
AKWESKWA LAKE,7590,48.17666667,-81.90416667,1,2014,12.7
AKWESKWA LAKE,7590,48.17666667,-81.90416667,1,2015,13.4
AKWESKWA LAKE,7590,48.17666667,-81.90416667,1,2016,10
AKWESKWA LAKE,7590,48.15694444,-81.89888889,2,2014,11.1
AKWESKWA LAKE,7590,48.15694444,-81.89888889,2,2015,11.6
AKWESKWA LAKE,7590,48.15694444,-81.89888889,2,2016,9.7
ALBION LAKE,5204,45.05527778,-77.99,1,2015,13.7
ALCES LAKE,6113,46.75583333,-82.13944444,1,2004,8.3
ALCOCK LAKE,7600,49.99361111,-94.51111111,1,2014,25.6
ALCOCK LAKE,7600,49.99361111,-94.51111111,1,2015,27.9
ALCOCK LAKE,7600,49.99361111,-94.51111111,1,2016,28.6
ALCOCK LAKE,7600,49.82666667,-94.49333333,2,2014,28
ALCOCK LAKE,7600,49.82666667,-94.49333333,2,2015,34.7
ALCOCK LAKE,7600,49.82666667,-94.49333333,2,2016,28.2
ALLAN LAKE,55,49.68444444,-82.77333333,1,2014,19.3
ALLAN LAKE,55,49.68444444,-82.77333333,1,2015,23.2
ALLAN LAKE,55,49.68444444,-82.77333333,1,2016,29.1
ALLAN LAKE,55,49.6725,-82.74527778,2,2014,30.7
ALLAN LAKE,55,49.6725,-82.74527778,2,2015,25.9
ALLAN LAKE,55,49.6725,-82.74527778,2,2016,22.1
ALLEN LAKE,6114,45.12361111,-78.25277778,1,2002,10
ALLEN LAKE,6114,45.12361111,-78.25277778,1,2003,5.35
ALLEN LAKE,6114,45.12361111,-78.25277778,1,2004,5.35
ALLEN LAKE,6114,45.12361111,-78.25277778,1,2005,4.9
ALLEN LAKE,6114,45.12361111,-78.25277778,1,2006,9.75
ALLEN LAKE,6114,45.12361111,-78.25277778,1,2007,5.875
ALLEN LAKE,6114,45.12361111,-78.25277778,1,2008,6.65
ALLEN LAKE,6114,45.12361111,-78.25277778,1,2009,6.15
ALLEN LAKE,6114,45.12361111,-78.25277778,1,2010,5.1
ALLEN LAKE,6114,45.12361111,-78.25277778,1,2011,9.7
ALLEN LAKE,6114,45.12361111,-78.25277778,1,2012,5.8
ALLEN LAKE,6114,45.12361111,-78.25277778,1,2013,6
ALLEN LAKE,6114,45.12361111,-78.25277778,1,2014,7.2
ALLEN LAKE,6114,45.12361111,-78.25277778,1,2015,5
ALLEN LAKE,6114,45.12361111,-78.25277778,1,2016,5.7
ALLEN LAKE,6114,45.12166667,-78.25027778,2,2014,7.3
ALLEN LAKE (NL),59,46.23611111,-82.89944444,1,2010,5.5
ALLURING LAKE,61,45.78611111,-78.1375,1,2002,5.85
ANIMA NIPISSING LAKE,86,47.24638889,-79.94722222,1,2004,4.6
ANIMA NIPISSING LAKE,86,47.28333333,-79.88222222,2,2007,4.75
ANIMA NIPISSING LAKE,86,47.28333333,-79.88222222,2,2010,3
ANIMA NIPISSING LAKE,86,47.25805556,-79.92861111,3,2010,2.8
ANIMA NIPISSING LAKE,86,47.26777778,-79.99583333,4,2007,3.4
ANIMA NIPISSING LAKE,86,47.26777778,-79.99583333,4,2010,3.4
ANIMOOSH LAKE,88,45.77194444,-78.13805556,1,2002,11.75
ANSELMI LAKE,7636,45.20916667,-79.71055556,1,2015,8.9
ANSTRUTHER LAKE,96,44.755,-78.19444444,1,2002,6.8
ANSTRUTHER LAKE,96,44.755,-78.19444444,1,2003,5.8
ANSTRUTHER LAKE,96,44.755,-78.19444444,1,2004,7.9
ANSTRUTHER LAKE,96,44.755,-78.19444444,1,2005,5.3
ANSTRUTHER LAKE,96,44.755,-78.19444444,1,2006,5.8
ANSTRUTHER LAKE,96,44.755,-78.19444444,1,2007,7.8
ANSTRUTHER LAKE,96,44.755,-78.19444444,1,2008,6.85
ANSTRUTHER LAKE,96,44.755,-78.19444444,1,2009,4.55
ANSTRUTHER LAKE,96,44.755,-78.19444444,1,2010,4.7
ANSTRUTHER LAKE,96,44.755,-78.19444444,1,2013,4.8
ANSTRUTHER LAKE,96,44.755,-78.19444444,1,2014,7.3
ANSTRUTHER LAKE,96,44.73527778,-78.23194444,2,2002,7.25
ANSTRUTHER LAKE,96,44.73527778,-78.23194444,2,2003,12
ANSTRUTHER LAKE,96,44.73527778,-78.23194444,2,2004,6.15
ANSTRUTHER LAKE,96,44.73527778,-78.23194444,2,2005,4.05
ANSTRUTHER LAKE,96,44.73527778,-78.23194444,2,2006,5.7
ANSTRUTHER LAKE,96,44.73527778,-78.23194444,2,2007,6.15
ANSTRUTHER LAKE,96,44.73527778,-78.23194444,2,2008,5.65
ANSTRUTHER LAKE,96,44.73527778,-78.23194444,2,2009,5.3
ANSTRUTHER LAKE,96,44.73527778,-78.23194444,2,2010,4.6
ANSTRUTHER LAKE,96,44.73527778,-78.23194444,2,2013,5
ANSTRUTHER LAKE,96,44.73527778,-78.23194444,2,2014,4.6
ANSTRUTHER LAKE,96,44.76138889,-78.20083333,3,2004,5
ANSTRUTHER LAKE,96,44.73833333,-78.22722222,4,2004,5.05
ANSTRUTHER LAKE,96,44.74222222,-78.20333333,5,2010,3.3
ANTRIM LAKE,99,46.93583333,-81.62527778,1,2004,7.85
APSEY LAKE,106,46.20861111,-81.7825,1,2010,13.6
APSEY LAKE,106,46.21527778,-81.77444444,2,2010,12.5
APSEY LAKE,106,46.2275,-81.76361111,3,2010,11.7
APSEY LAKE,106,46.23027778,-81.75444444,4,2010,11.25
ARDOCH LAKE,2776,44.93138889,-76.86277778,1,2004,15.1
ARDOCH LAKE,2776,44.93083333,-76.86444444,2,2010,5.3
ARDOCH LAKE,2776,44.93083333,-76.86444444,2,2011,9.2
ARDOCH LAKE,2776,44.93083333,-76.86444444,2,2012,6.6
ARDOCH LAKE,2776,44.93083333,-76.86444444,2,2013,6.3
ARDOCH LAKE,2776,44.93083333,-76.86444444,2,2014,7
ARDOCH LAKE,2776,44.93083333,-76.86444444,2,2015,7.6
ARDOCH LAKE,2776,44.93083333,-76.86444444,2,2016,6.183333333
ARGYLE LAKE,7412,48.04527778,-80.86166667,1,2005,8
ARGYLE LAKE,7412,48.035,-80.85555556,2,2005,8.35
ARMISHAW LAKE,5041,45.23361111,-79.77305556,1,2012,9.5
ARMISHAW LAKE,5041,45.23361111,-79.77305556,1,2013,4.3
ARMISHAW LAKE,5041,45.23361111,-79.77305556,1,2015,5.633333333
ARMSTRONG LAKE,120,49.97166667,-94.38333333,1,2002,18
ARMSTRONG LAKE,120,49.97166667,-94.38333333,1,2003,9.25
ARMSTRONG LAKE,120,49.97166667,-94.38333333,1,2004,12
ARMSTRONG LAKE,120,49.97166667,-94.38333333,1,2005,10.9
ARMSTRONG LAKE,120,49.97166667,-94.38333333,1,2006,9.4
ARMSTRONG LAKE,7452,46.53055556,-81.55833333,1,2008,7.7
ARMSTRONG LAKE,7452,46.53055556,-81.55833333,1,2009,11.15
ARMSTRONG LAKE,7452,46.53055556,-81.55833333,1,2010,7.5
ARMSTRONG LAKE,7452,46.53055556,-81.55833333,1,2011,6.7
ARMSTRONG LAKE,7452,46.53055556,-81.55833333,1,2012,4.9
ARMSTRONG LAKE,7452,46.53055556,-81.55833333,1,2013,5.9
ARMSTRONG LAKE,7452,46.53055556,-81.55833333,1,2014,16.6
ARMSTRONG LAKE,7452,46.53055556,-81.55833333,1,2015,7.5
ARMSTRONG LAKE,7452,46.53055556,-81.55833333,1,2016,5.4
ARNOTT LAKE,123,49.59777778,-84.59972222,1,2015,5
ARNOTT LAKE,123,49.59777778,-84.59972222,1,2016,5.6
ARNOTT LAKE,123,49.59861111,-84.61,2,2015,4.2
ARNOTT LAKE,123,49.59861111,-84.61,2,2016,5
ARROW LAKE,125,48.14805556,-90.31972222,2,2004,3.15
ARROW LAKE,125,48.14805556,-90.31972222,2,2005,2.7
ARROW LAKE,125,48.14805556,-90.31972222,2,2006,4.65
ARROW LAKE,125,48.14805556,-90.31972222,2,2008,5.15
ARROW LAKE,125,48.14555556,-90.31583333,3,2010,3.9
ARROW LAKE,125,48.14555556,-90.31583333,3,2012,5.2
ARROW LAKE,125,48.16611111,-90.24333333,4,2010,3.8
ARROW LAKE,125,48.16611111,-90.24333333,4,2012,4.4
ARROW LAKE,125,48.17361111,-90.20138889,5,2010,4.2
ARROW LAKE,125,48.17361111,-90.20138889,5,2012,5.5
ARROW LAKE,125,48.17166667,-90.16972222,6,2010,4.2
ARROW LAKE,125,48.17166667,-90.16972222,6,2012,5
ARROWHEAD LAKE (RAT),126,45.39805556,-79.20333333,1,2016,11.7
ASHBY LAKE,131,45.09444444,-77.3625,2,2002,6.8
ASHBY LAKE,131,45.09444444,-77.3625,2,2003,15
ASHBY LAKE,131,45.09444444,-77.3625,2,2004,4.75
ASHBY LAKE,131,45.09444444,-77.3625,2,2005,4.45
ASHBY LAKE,131,45.09444444,-77.3625,2,2006,6.5
ASHBY LAKE,131,45.09444444,-77.3625,2,2007,5.35
ASHBY LAKE,131,45.09444444,-77.3625,2,2008,7.15
ASHBY LAKE,131,45.09444444,-77.3625,2,2009,5.55
ASHBY LAKE,131,45.09444444,-77.3625,2,2010,5.1
ASHBY LAKE,131,45.09444444,-77.3625,2,2011,4.6
ASHBY LAKE,131,45.09444444,-77.3625,2,2012,4
ASHBY LAKE,131,45.09444444,-77.3625,2,2013,5.1
ASHBY LAKE,131,45.09444444,-77.3625,2,2014,8.3
ASHBY LAKE,131,45.09444444,-77.3625,2,2015,7
ASHBY LAKE,131,45.09444444,-77.3625,2,2016,3.3
ASHBY LAKE,131,45.09083333,-77.3525,3,2002,5.95
ASHBY LAKE,131,45.09083333,-77.3525,3,2003,3.85
ASHBY LAKE,131,45.09083333,-77.3525,3,2004,6.3
ASHBY LAKE,131,45.09083333,-77.3525,3,2005,5.9
ASHBY LAKE,131,45.09083333,-77.3525,3,2006,5.85
ASHBY LAKE,131,45.09083333,-77.3525,3,2007,4.5
ASHBY LAKE,131,45.09083333,-77.3525,3,2008,5.5
ASHBY LAKE,131,45.09083333,-77.3525,3,2009,6.1
ASHBY LAKE,131,45.09083333,-77.3525,3,2010,4.2
ASHBY LAKE,131,45.09083333,-77.3525,3,2011,6.7
ASHBY LAKE,131,45.09083333,-77.3525,3,2012,5.2
ASHBY LAKE,131,45.09083333,-77.3525,3,2013,6.7
ASHBY LAKE,131,45.09083333,-77.3525,3,2014,5.8
ASHBY LAKE,131,45.09083333,-77.3525,3,2015,5.2
ASHBY LAKE,131,45.09083333,-77.3525,3,2016,3.7
ASHBY LAKE,131,45.09,-77.34222222,4,2005,5.05
ASHBY LAKE,131,45.09,-77.34222222,4,2013,5.3
ASHBY LAKE,131,45.0875,-77.35833333,5,2005,4.9
ASHBY LAKE,131,45.09472222,-77.35861111,6,2005,4.65
ASHBY LAKE,131,45.09472222,-77.35861111,6,2013,4.5
ASHBY LAKE,131,45.09472222,-77.34722222,7,2005,6.6
ASHBY LAKE,131,45.09472222,-77.34722222,7,2013,5.1
ASHBY LAKE,131,45.09083333,-77.35305556,8,2013,4.7
ASHIGAMI LAKE,132,46.65,-80.56666667,1,2006,5.1
ASHIGAMI LAKE,132,46.65,-80.56666667,1,2008,4.1
ASHIGAMI LAKE,132,46.65,-80.56666667,1,2009,4.6
ASHIGAMI LAKE,132,46.65,-80.56666667,1,2010,4.1
ASHIGAMI LAKE,132,46.65,-80.56666667,1,2011,7.4
ASHIGAMI LAKE,132,46.65,-80.56666667,1,2012,4.6
ASHIGAMI LAKE,132,46.65,-80.56666667,1,2013,4.7
ASHIGAMI LAKE,132,46.65,-80.56666667,1,2014,5
ASHIGAMI LAKE,132,46.65,-80.56666667,1,2015,5.3
ASHIGAMI LAKE,132,46.65,-80.56666667,1,2016,4.6
ASHIGAMI LAKE,132,46.66888889,-80.56583333,2,2006,4.15
ASHIGAMI LAKE,132,46.66888889,-80.56583333,2,2007,5.35
ASHIGAMI LAKE,132,46.65,-80.56666667,3,2010,4.5
ASHIGAMI LAKE,132,46.65,-80.56666667,3,2012,4.2
ASTROLABE LAKE,6125,45.60277778,-76.83666667,1,2003,8
ATHELSTANE LAKE,136,48.76805556,-90.23555556,1,2010,9.3
ATHELSTANE LAKE,136,48.76805556,-90.23555556,1,2012,9.5
ATHELSTANE LAKE,136,48.77444444,-90.20138889,2,2010,10
ATHELSTANE LAKE,136,48.77444444,-90.20138889,2,2012,9.4
ATKINS LAKE,140,45.11861111,-79.22833333,1,2003,9.2
AUSTEN LAKE,7460,48.0275,-81.05305556,1,2010,9.4
AUSTEN LAKE,7460,48.05333333,-81.06138889,2,2010,7.3
AUSTIN LAKE,6932,49.89777778,-94.37611111,1,2002,25.1
AUSTIN LAKE,6932,49.89777778,-94.37611111,1,2003,11.9
AUSTIN LAKE,6932,49.89777778,-94.37611111,1,2004,20.05
