ID,Latitude,Longitude,Lake_ID,shortest_distance
1,45.23787641,-79.67684459,6466,0.013126571
2,45.23373306,-79.67867765,5761,0.01452036
3,45.23414721,-79.67766225,5761,0.013675705
4,45.23451313,-79.67865931,5761,0.014737547
5,44.73488798,-79.31168611,6245,0.04567663
6,44.49535743,-78.66319153,6435,0.050624524
7,45.16087039,-79.28378319,871,0.032423216
8,45.05130033,-78.50503532,486,0.036646828
9,44.55515325,-78.31085283,4232,0.007454944
10,44.73018484,-78.81127844,5950,0.029446637
11,45.58212888,-79.9430142,5988,0.007568674
12,45.15691831,-79.51220506,6700,0.025159253
13,44.9179352,-79.3805379,4877,0.007031302
14,45.03401657,-79.31747299,6217,0.048193811
15,45.33522123,-79.12690407,5374,0.006653981
16,45.25838449,-78.58531547,3870,0.007920761
17,44.94720735,-79.93043856,1556,0.012370784
18,44.94784872,-79.92993331,1556,0.011708976
19,45.16842614,-79.01183155,5721,0.009110855
20,45.16916099,-79.01004335,5721,0.007271097
21,45.16885021,-79.01001071,5721,0.007257299
22,45.07237017,-79.53646962,911,0.037317071
23,44.88817148,-79.61540035,4975,0.073319369
24,45.21595188,-78.86364569,5629,0.010057197
25,44.93361645,-79.49797322,4983,0.034443894
26,44.62236917,-78.39336225,474,0.046548525
27,45.31509992,-79.84602955,3067,0.00745903
28,44.71492609,-78.92678504,5802,0.003574346
29,44.73533359,-78.62933223,1696,0.089778562
30,44.7714153,-79.34674204,6198,0.060079729
31,44.66388867,-78.74004367,2410,0.016859878
32,44.70208927,-78.86237942,3004,0.064121664
33,44.65527905,-78.80563029,171,0.026055688
34,45.04274491,-79.33867035,4889,0.053736323
35,45.21153417,-79.32937456,4030,0.026629632
36,45.03286365,-78.69039304,6857,0.019825645
37,45.23752866,-78.62101901,3526,0.005783518
38,45.35414941,-80.03339266,4577,0.037549461
39,45.46836919,-79.92606597,4411,0.009460603
40,45.1052177,-79.24438062,6289,0.015821311
41,45.18620908,-78.65132637,3525,0.008757842
42,44.99657588,-78.45341217,3559,0.031004553
43,44.39797813,-78.28643224,3380,0.078279107
44,44.50288552,-78.31757646,4248,0.054709197
45,45.30314623,-80.0521754,2601,0.040403088
46,44.54007088,-78.53733706,5458,0.016982533
47,45.34764533,-79.12989647,5374,0.00653504
48,45.21285302,-79.44205856,1419,0.003401747
49,45.03593561,-79.3217531,6217,0.052606528
50,44.921663,-79.37724744,2885,0.008676795
51,45.03520896,-79.32194583,6217,0.052255105
52,44.97510791,-78.06823841,5339,0.007498527
53,45.05256551,-79.3020965,6217,0.055813882
54,45.17431725,-79.07420356,2186,0.00829337
55,45.31768135,-79.2188265,3477,0.011095694
56,45.34146009,-79.18859628,2303,0.007336208
57,44.32766528,-78.2813348,1411,0.126225355
58,45.02133765,-79.85970551,2766,0.019423484
59,45.02106824,-79.85900447,2766,0.018724314
60,45.02120808,-79.85857523,2766,0.018508954
61,44.53791687,-78.19312305,1479,0.008117123
62,45.05553015,-79.34416395,4889,0.055320451
63,45.10243987,-79.34472418,871,0.083948679
64,44.98393823,-77.98385202,4311,0.024036581
65,45.13652971,-79.98079503,2712,0.018536322
66,44.87292678,-79.60306419,4353,0.073267798
67,45.77456708,-79.40570885,464,0.020359753
68,45.3224345,-79.21771543,7019,0.013315891
69,45.29137574,-79.11387021,5378,0.037806874
70,44.45953098,-78.14170429,1496,0.070858232
71,44.68258715,-79.39437311,1630,0.025129547
72,44.75481936,-79.33322967,6245,0.064273772
73,45.34848787,-79.32453957,7023,0.0113078
74,44.896869,-78.45903114,7334,0.01719724
75,45.26771857,-79.22445074,1424,0.029920144
76,45.25231208,-78.87953207,3709,0.005761749
77,44.92046027,-79.75953894,6080,0.008751664
78,44.50343315,-77.9050914,5786,0.02876472
79,44.87725892,-79.68606499,2758,0.031609352
80,44.72803139,-78.81515717,5950,0.030171859
81,44.75280736,-79.33130454,6245,0.062046387
82,44.60274793,-78.87175646,151,0.044301457
83,44.70268693,-79.38967455,1630,0.023330632
84,44.44064149,-78.5317177,5442,0.060907223
85,44.53179699,-78.73183108,6461,0.006148316
86,45.13668266,-79.71655872,245,0.034259953
87,45.13694217,-79.71629009,245,0.034342215
88,45.16453245,-79.69171123,3877,0.032135066
89,45.40494047,-79.37438338,974,0.018519109
