Lake.Name,STN,Site.ID,Latitude,Longitude,Year,Secchi.depth_avg,d,m,s,d_long,m_long,s_long,,#VALUE!,,Latitude,,#VALUE!,,#VALUE!,,#VALUE!,,Longitude
ADAM'S LAKE,6931,1,444840,761255,2011,4.4,44,48,40,76,12,55,,44.81111111,,44.81111111,,76.21527778,,76.21527778,,-76.21527778,,-76.21527778
ADAM'S LAKE,6931,1,444840,761255,2012,5.2,44,48,40,76,12,55,,44.81111111,,44.81111111,,76.21527778,,76.21527778,,-76.21527778,,-76.21527778
ADAM'S LAKE,6931,1,444840,761255,2013,5,44,48,40,76,12,55,,44.81111111,,44.81111111,,76.21527778,,76.21527778,,-76.21527778,,-76.21527778
ADAM'S LAKE,6931,1,444840,761255,2015,4.5,44,48,40,76,12,55,,44.81111111,,44.81111111,,76.21527778,,76.21527778,,-76.21527778,,-76.21527778
ADAM'S LAKE,6931,1,444840,761255,2016,4.1,44,48,40,76,12,55,,44.81111111,,44.81111111,,76.21527778,,76.21527778,,-76.21527778,,-76.21527778
ADAM'S LAKE,6931,3,444836,774643,2014,3.6,44,48,36,77,46,43,,44.81,,44.81,,77.77861111,,77.77861111,,-77.77861111,,-77.77861111
AGNEW LAKE,6051,1,462114,814400,2006,3.8,46,21,14,81,44,0,,46.35388889,,46.35388889,,81.73333333,,81.73333333,,-81.73333333,,-81.73333333
AGNEW LAKE,6051,2,462115,814405,2006,2.9,46,21,15,81,44,5,,46.35416667,,46.35416667,,81.73472222,,81.73472222,,-81.73472222,,-81.73472222
AGNEW LAKE,6051,3,462235,813949,2014,2.5,46,22,35,81,39,49,,46.37638889,,46.37638889,,81.66361111,,81.66361111,,-81.66361111,,-81.66361111
AHMIC LAKE,32,1,453750,793905,1993,3.9,45,37,50,79,39,5,,45.63055556,,45.63055556,,79.65138889,,79.65138889,,-79.65138889,,-79.65138889
AHMIC LAKE,32,1,453750,793905,1994,3.9,45,37,50,79,39,5,,45.63055556,,45.63055556,,79.65138889,,79.65138889,,-79.65138889,,-79.65138889
AHMIC LAKE,32,1,453750,793905,1996,2.2,45,37,50,79,39,5,,45.63055556,,45.63055556,,79.65138889,,79.65138889,,-79.65138889,,-79.65138889
AHMIC LAKE,32,1,453750,793905,1997,2,45,37,50,79,39,5,,45.63055556,,45.63055556,,79.65138889,,79.65138889,,-79.65138889,,-79.65138889
AHMIC LAKE,32,1,453750,793905,1998,3.3,45,37,50,79,39,5,,45.63055556,,45.63055556,,79.65138889,,79.65138889,,-79.65138889,,-79.65138889
AHMIC LAKE,32,1,453750,793905,1999,2.8,45,37,50,79,39,5,,45.63055556,,45.63055556,,79.65138889,,79.65138889,,-79.65138889,,-79.65138889
AHMIC LAKE,32,1,453750,793905,2000,2.7,45,37,50,79,39,5,,45.63055556,,45.63055556,,79.65138889,,79.65138889,,-79.65138889,,-79.65138889
AHMIC LAKE,32,1,453750,793905,2001,3.1,45,37,50,79,39,5,,45.63055556,,45.63055556,,79.65138889,,79.65138889,,-79.65138889,,-79.65138889
AHMIC LAKE,32,1,453750,793905,2002,3.2,45,37,50,79,39,5,,45.63055556,,45.63055556,,79.65138889,,79.65138889,,-79.65138889,,-79.65138889
AHMIC LAKE,32,1,453750,793905,2003,3,45,37,50,79,39,5,,45.63055556,,45.63055556,,79.65138889,,79.65138889,,-79.65138889,,-79.65138889
AHMIC LAKE,32,1,453750,793905,2004,3.1,45,37,50,79,39,5,,45.63055556,,45.63055556,,79.65138889,,79.65138889,,-79.65138889,,-79.65138889
AHMIC LAKE,32,1,453750,793905,2005,3.1,45,37,50,79,39,5,,45.63055556,,45.63055556,,79.65138889,,79.65138889,,-79.65138889,,-79.65138889
AHMIC LAKE,32,1,453750,793905,2006,2.8,45,37,50,79,39,5,,45.63055556,,45.63055556,,79.65138889,,79.65138889,,-79.65138889,,-79.65138889
AHMIC LAKE,32,1,453750,793905,2007,2.9,45,37,50,79,39,5,,45.63055556,,45.63055556,,79.65138889,,79.65138889,,-79.65138889,,-79.65138889
AHMIC LAKE,32,1,453750,793905,2008,2,45,37,50,79,39,5,,45.63055556,,45.63055556,,79.65138889,,79.65138889,,-79.65138889,,-79.65138889
AHMIC LAKE,32,1,453750,793905,2009,2.4,45,37,50,79,39,5,,45.63055556,,45.63055556,,79.65138889,,79.65138889,,-79.65138889,,-79.65138889
AHMIC LAKE,32,1,453750,793905,2010,2.5,45,37,50,79,39,5,,45.63055556,,45.63055556,,79.65138889,,79.65138889,,-79.65138889,,-79.65138889
AHMIC LAKE,32,1,453750,793905,2011,2.1,45,37,50,79,39,5,,45.63055556,,45.63055556,,79.65138889,,79.65138889,,-79.65138889,,-79.65138889
AHMIC LAKE,32,1,453750,793905,2012,2.6,45,37,50,79,39,5,,45.63055556,,45.63055556,,79.65138889,,79.65138889,,-79.65138889,,-79.65138889
