Lake.Name,STN,Site.ID,Latitude,Longitude,Year,meanTP_yearly,d,m,s,d_long,m_long,s_long,,#VALUE!,,Latitude,,#VALUE!,,#VALUE!,,#VALUE!,,Longitude
ABITIBI LAKE,2451,15,485201,795124,2014,61.8,48,52,1,79,51,24,,48.86694444,,48.86694444,,79.85666667,,79.85666667,,-79.85666667,,-79.85666667
ABITIBI LAKE,2451,16,485209,795505,2014,60.4,48,52,9,79,55,5,,48.86916667,,48.86916667,,79.91805556,,79.91805556,,-79.91805556,,-79.91805556
ABITIBI LAKE,2451,17,485250,795809,2014,64.4,48,52,50,79,58,9,,48.88055556,,48.88055556,,79.96916667,,79.96916667,,-79.96916667,,-79.96916667
ABITIBI LAKE,2451,18,485304,800220,2014,65,48,53,4,80,2,20,,48.88444444,,48.88444444,,80.03888889,,80.03888889,,-80.03888889,,-80.03888889
ABITIBI LAKE,2451,19,484737,800413,2014,53.8,48,47,37,80,4,13,,48.79361111,,48.79361111,,80.07027778,,80.07027778,,-80.07027778,,-80.07027778
ABITIBI LAKE,2451,20,484844,801138,2014,67,48,48,44,80,11,38,,48.81222222,,48.81222222,,80.19388889,,80.19388889,,-80.19388889,,-80.19388889
ACHESON LAKE,10,1,463446,815431,2004,6.9,46,34,46,81,54,31,,46.57944444,,46.57944444,,81.90861111,,81.90861111,,-81.90861111,,-81.90861111
ADA LAKE,15,1,450528,793826,2004,12.85,45,5,28,79,38,26,,45.09111111,,45.09111111,,79.64055556,,79.64055556,,-79.64055556,,-79.64055556
ADA LAKE,15,1,450528,793826,2007,17.6,45,5,28,79,38,26,,45.09111111,,45.09111111,,79.64055556,,79.64055556,,-79.64055556,,-79.64055556
ADA LAKE,15,2,450500,793800,2015,18.2,45,5,0,79,38,0,,45.08333333,,45.08333333,,79.63333333,,79.63333333,,-79.63333333,,-79.63333333
ADA LAKE,15,2,450500,793800,2016,9.4,45,5,0,79,38,0,,45.08333333,,45.08333333,,79.63333333,,79.63333333,,-79.63333333,,-79.63333333
ADAM'S LAKE,6931,1,444840,761255,2002,20.4,44,48,40,76,12,55,,44.81111111,,44.81111111,,76.21527778,,76.21527778,,-76.21527778,,-76.21527778
ADAM'S LAKE,6931,1,444840,761255,2003,15.5,44,48,40,76,12,55,,44.81111111,,44.81111111,,76.21527778,,76.21527778,,-76.21527778,,-76.21527778
ADAM'S LAKE,6931,1,444840,761255,2004,16.35,44,48,40,76,12,55,,44.81111111,,44.81111111,,76.21527778,,76.21527778,,-76.21527778,,-76.21527778
ADAM'S LAKE,6931,1,444840,761255,2005,14,44,48,40,76,12,55,,44.81111111,,44.81111111,,76.21527778,,76.21527778,,-76.21527778,,-76.21527778
ADAM'S LAKE,6931,1,444840,761255,2006,10.95,44,48,40,76,12,55,,44.81111111,,44.81111111,,76.21527778,,76.21527778,,-76.21527778,,-76.21527778
