ID,Date,HPI,Year,Latitude,Longitude,area,house_price,Real_price
83,2005/01,0.7,2005,44.70268693,-79.38967455,695.22,104000,72800
84,2005/01,0.7,2005,44.44064149,-78.5317177,1978.08,147000,102900
85,2005/01,0.7,2005,44.53179699,-78.73183108,1880.01,210000,147000
86,2005/01,0.7,2005,45.13668266,-79.71655872,3731.55,1150000,805000
87,2005/01,0.7,2005,45.13694217,-79.71629009,182.51,1150000,805000
88,2005/01,0.7,2005,45.16453245,-79.69171123,26323.66,560747,392522.9
89,2005/01,0.7,2005,45.40494047,-79.37438338,41905.05,124000,86800
90,2005/01,0.7,2005,44.91417684,-79.38025847,731.97,139000,97300
91,2005/01,0.7,2005,45.02873868,-79.32274316,1417.77,220000,154000
92,2005/01,0.7,2005,45.00024227,-79.40625107,5254.02,350000,245000
93,2005/01,0.7,2005,45.05026675,-79.34093574,1167.13,366544,256580.8
94,2005/01,0.7,2005,44.92288692,-79.3761927,803.58,131000,91700
95,2005/01,0.7,2005,44.92709948,-79.38388191,933.54,149900,104930
96,2005/01,0.7,2005,45.04417909,-79.34169992,1639.27,365000,255500
97,2005/01,0.7,2005,45.03633783,-79.32012938,416.1,125000,87500
98,2005/01,0.7,2005,45.0404198,-79.3847152,3511.77,250000,175000
99,2005/01,0.7,2005,45.23031688,-78.63483367,5336.99,240000,168000
100,2005/01,0.7,2005,45.05260897,-78.33000069,4908.35,155000,108500
101,2005/01,0.7,2005,45.65430409,-79.34923127,43579.82,95000,66500
102,2005/01,0.7,2005,45.66585046,-79.22900107,5318.51,175000,122500
103,2005/01,0.7,2005,45.62076485,-79.40202782,1019.19,128000,89600
104,2005/01,0.7,2005,45.57148953,-79.36123542,3419.09,185000,129500
105,2005/01,0.7,2005,45.62083127,-79.40177531,873.77,128000,89600
106,2005/01,0.7,2005,45.29935776,-79.26253845,4094.5,90000,63000
107,2005/01,0.7,2005,45.29979823,-79.17069547,7472.46,260000,182000
108,2005/01,0.7,2005,45.2987564,-79.17003847,5329.91,260000,182000
109,2005/01,0.7,2005,45.32458942,-79.21852029,534.25,2.00E+05,140000
110,2005/01,0.7,2005,45.03348292,-79.30449679,652.66,140000,98000
111,2005/01,0.7,2005,45.12408109,-78.65368683,3165.28,153000,107100
112,2005/01,0.7,2005,44.89605954,-79.69532164,6223.81,2.00E+05,140000
113,2005/01,0.7,2005,45.00766194,-77.79899203,3876.52,1.00E+05,70000
114,2005/01,0.7,2005,44.5115372,-78.38220374,4231.97,194000,135800
115,2005/01,0.7,2005,44.56120842,-77.82776038,6514.16,221500,155050
116,2005/01,0.7,2005,44.35573417,-78.30511006,467.88,272500,190750
117,2005/01,0.7,2005,44.50401385,-78.31723645,2051.58,180000,126000
118,2005/01,0.7,2005,44.57558133,-78.4859001,2077.22,210000,147000
119,2005/01,0.7,2005,45.17681835,-79.48398333,2012.69,123000,86100
120,2005/01,0.7,2005,44.91686531,-78.11532364,4501.01,160000,112000
121,2005/01,0.7,2005,44.97537834,-78.7061952,2976.45,140000,98000
122,2005/01,0.7,2005,45.01153208,-78.70664815,2079.5,250000,175000
123,2005/01,0.7,2005,45.36648476,-79.28111024,7852.79,149900,104930
124,2005/01,0.7,2005,44.42064863,-78.2750339,350.55,132500,92750
125,2005/01,0.7,2005,45.09939726,-79.28804579,1326.59,117000,81900
126,2005/01,0.7,2005,45.32570072,-79.2033831,6767.86,252000,176400
127,2005/01,0.7,2005,45.31822841,-79.2104962,1148.24,74287,52000.9
