Lake.Name,STN,Site.ID,Latitude,Longitude,Year,meanTP_yearly,d,m,s,d_long,m_long,s_long
AGNEW LAKE,6051,2,462115,814405,2007,5.75,46,21,15,81,44,05
AGNEW LAKE,6051,3,462235,813949,2014,10.7,46,22,35,81,39,49
AHMIC LAKE,32,1,453750,793905,2002,6.8,45,37,50,79,39,05
AHMIC LAKE,32,1,453750,793905,2003,13.55,45,37,50,79,39,05
AHMIC LAKE,32,1,453750,793905,2004,12.025,45,37,50,79,39,05
AHMIC LAKE,32,1,453750,793905,2005,8.58333333333333,45,37,50,79,39,05
AHMIC LAKE,32,1,453750,793905,2006,10.57,45,37,50,79,39,05
AHMIC LAKE,32,1,453750,793905,2007,9.55833333333333,45,37,50,79,39,05
AHMIC LAKE,32,1,453750,793905,2008,13.78,45,37,50,79,39,05
AHMIC LAKE,32,1,453750,793905,2009,9.88,45,37,50,79,39,05
AHMIC LAKE,32,1,453750,793905,2010,9.4,45,37,50,79,39,05
AHMIC LAKE,32,1,453750,793905,2011,10.2,45,37,50,79,39,05
AHMIC LAKE,32,1,453750,793905,2012,7.85,45,37,50,79,39,05
AHMIC LAKE,32,1,453750,793905,2013,9.11666666666667,45,37,50,79,39,05
AHMIC LAKE,32,1,453750,793905,2014,10.96,45,37,50,79,39,05
AHMIC LAKE,32,1,453750,793905,2015,8.925,45,37,50,79,39,05
AHMIC LAKE,32,1,453750,793905,2016,7.78333333333333,45,37,50,79,39,05
AHMIC LAKE,32,2,453908,794324,2002,14.7,45,39,08,79,43,24
AHMIC LAKE,32,2,453908,794324,2003,16.45,45,39,08,79,43,24
AHMIC LAKE,32,2,453908,794324,2004,11.25,45,39,08,79,43,24
AHMIC LAKE,32,2,453908,794324,2005,7.24166666666667,45,39,08,79,43,24
AHMIC LAKE,32,2,453908,794324,2006,8.98,45,39,08,79,43,24
AHMIC LAKE,32,2,453908,794324,2007,8.80833333333333,45,39,08,79,43,24
AHMIC LAKE,32,2,453908,794324,2008,12.27,45,39,08,79,43,24
AHMIC LAKE,32,2,453908,794324,2009,8.74,45,39,08,79,43,24
AHMIC LAKE,32,2,453908,794324,2010,9.31666666666667,45,39,08,79,43,24
AHMIC LAKE,32,2,453908,794324,2011,8.95,45,39,08,79,43,24
AHMIC LAKE,32,2,453908,794324,2012,7.41666666666667,45,39,08,79,43,24
AHMIC LAKE,32,2,453908,794324,2013,8.95,45,39,08,79,43,24
AHMIC LAKE,32,2,453908,794324,2014,9.68,45,39,08,79,43,24
AHMIC LAKE,32,2,453908,794324,2015,8.08333333333333,45,39,08,79,43,24
AHMIC LAKE,32,2,453908,794324,2016,7.51666666666667,45,39,08,79,43,24
AIRD LAKE,33,2,450781,770451,2014,8.6,45,07,81,77,04,51
AIRD LAKE,33,2,450781,770451,2015,6.3,45,07,81,77,04,51
AIRD LAKE,33,2,450781,770451,2016,6.2,45,07,81,77,04,51
AIRPORT LAKE,6567,1,495233,932633,2006,17.7,49,52,33,93,26,33
AIRPORT LAKE,6567,1,495233,932633,2007,14.15,49,52,33,93,26,33
AKWESKWA LAKE,7590,1,481036,815415,2014,12.7,48,10,36,81,54,15
