Time period,Total,House only,Land only,HPI
10/1/2015,93.8,92.4,96.6,0.938
11/1/2015,93.9,92.6,96.7,0.939
12/1/2015,94.1,92.8,96.7,0.941
1/1/2016,94.2,93,96.7,0.942
2/1/2016,94.6,93.6,96.6,0.946
3/1/2016,94.8,93.9,96.6,0.948
4/1/2016,95.3,94.6,96.8,0.953
5/1/2016,96.6,96.4,97.1,0.966
6/1/2016,97,96.8,97.4,0.97
7/1/2016,97.8,97.8,97.6,0.978
8/1/2016,98.2,98.4,97.6,0.982
9/1/2016,98.5,98.5,98.1,0.985
10/1/2016,99.5,99.6,99.1,0.995
11/1/2016,99.9,99.8,100,0.999
12/1/2016,100,100,100,1
1/1/2017,100.3,99.9,100.9,1.003
